区分名称,予備区分名称,生活習慣病フラグ,救急フラグ,データ区分,大項目,FHIR項目名称,FHIR識別文字列,略称,販売名称,材料(JLAC11),測定法(JLAC11),JLAC11コード,単位,材料(JLAC10),検査方法(JLAC10-測定法),JLAC10コード,基準値フラグ(下限),基準値フラグ(上限),基準値フラグ(判定),データタイプ,値の下限,値の上限,数値型の場合の形式,コード型の場合の値リスト,コード型のOID,並び順,適用開始日,適用終了日,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,リキテック 総タンパク,血漿(EDTA入り),可視吸光光度法_リキテック 総タンパク,C1002000024201555,g/dL,血漿,可視吸光光度法,3A010000002227101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,リキテック 総タンパク,血漿(ヘパリン入り),可視吸光光度法_リキテック 総タンパク,C1002000024301555,g/dL,血漿,可視吸光光度法,3A010000002227101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,リキテック 総タンパク,血漿,可視吸光光度法_リキテック 総タンパク,C1002000024001555,g/dL,血漿,可視吸光光度法,3A010000002227101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,エクディアXL'栄研'TP,血清,可視吸光光度法_エクディアXL'栄研'TP,C1002000025001655,g/dL,血清,可視吸光光度法,3A010000002327101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,イアトロTPII,血清,可視吸光光度法_イアトロTPII,C1002000025001755,g/dL,血清,可視吸光光度法,3A010000002327101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,イアトロTPII,血漿(EDTA入り),可視吸光光度法_イアトロTPII,C1002000024201755,g/dL,血漿,可視吸光光度法,3A010000002227101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,イアトロTPII,血漿(ヘパリン入り),可視吸光光度法_イアトロTPII,C1002000024301755,g/dL,血漿,可視吸光光度法,3A010000002227101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,イアトロTPII,血漿(クエン酸入り),可視吸光光度法_イアトロTPII,C1002000024401755,g/dL,血漿,可視吸光光度法,3A010000002227101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,イアトロTPII,血漿,可視吸光光度法_イアトロTPII,C1002000024001755,g/dL,血漿,可視吸光光度法,3A010000002227101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,イアトロTPIII,血清,可視吸光光度法_イアトロTPIII,C1002000025001855,g/dL,血清,可視吸光光度法,3A010000002327101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,イアトロTPIII,血漿(EDTA入り),可視吸光光度法_イアトロTPIII,C1002000024201855,g/dL,血漿,可視吸光光度法,3A010000002227101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,イアトロTPIII,血漿(ヘパリン入り),可視吸光光度法_イアトロTPIII,C1002000024301855,g/dL,血漿,可視吸光光度法,3A010000002227101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,イアトロTPIII,血漿(クエン酸入り),可視吸光光度法_イアトロTPIII,C1002000024401855,g/dL,血漿,可視吸光光度法,3A010000002227101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,イアトロTPIII,血漿,可視吸光光度法_イアトロTPIII,C1002000024001855,g/dL,血漿,可視吸光光度法,3A010000002227101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,スポットケムII 総蛋白,血清,ドライケミストリー法_スポットケムII 総蛋白,C1002000025001955,g/dL,血清,反射測光法(レフラクトメトリー),3A010000002329101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,スポットケムII 総蛋白,血漿,ドライケミストリー法_スポットケムII 総蛋白,C1002000024001955,g/dL,血漿,反射測光法(レフラクトメトリー),3A010000002229101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,スポットケムII 総蛋白,血漿(ヘパリン入り),ドライケミストリー法_スポットケムII 総蛋白,C1002000024301955,g/dL,血漿,反射測光法(レフラクトメトリー),3A010000002229101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,スポットケム D TP,血清,反射測光法(レフラクトメトリー)_スポットケム D TP,C1002000025002055,g/dL,血清,反射測光法(レフラクトメトリー),3A010000002329101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,スポットケム D TP,血漿(EDTA入り),反射測光法(レフラクトメトリー)_スポットケム D TP,C1002000024202055,g/dL,血漿,反射測光法(レフラクトメトリー),3A010000002229101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,スポットケム D TP,血漿(ヘパリン入り),反射測光法(レフラクトメトリー)_スポットケム D TP,C1002000024302055,g/dL,血漿,反射測光法(レフラクトメトリー),3A010000002229101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,スポットケム D TP,血漿,反射測光法(レフラクトメトリー)_スポットケム D TP,C1002000024002055,g/dL,血漿,反射測光法(レフラクトメトリー),3A010000002229101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,アクアオート カイノス TP-Ⅱ試薬,血清,可視吸光光度法_アクアオート カイノス TP-Ⅱ試薬,C1002000025002155,g/dL,血清,可視吸光光度法,3A010000002327101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,アクアオート カイノス TP-Ⅱ試薬,血漿(EDTA入り),可視吸光光度法_アクアオート カイノス TP-Ⅱ試薬,C1002000024202155,g/dL,血漿,可視吸光光度法,3A010000002227101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,アクアオート カイノス TP-Ⅱ試薬,血漿(ヘパリン入り),可視吸光光度法_アクアオート カイノス TP-Ⅱ試薬,C1002000024302155,g/dL,血漿,可視吸光光度法,3A010000002227101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,アクアオート カイノス TP-Ⅱ試薬,血漿(クエン酸入り),可視吸光光度法_アクアオート カイノス TP-Ⅱ試薬,C1002000024402155,g/dL,血漿,可視吸光光度法,3A010000002227101,0,0,0,PQ,0,0,,,,100,00000000,,,
